"PERSON_ID","FIRST_NAME","LAST_NAME","EMPLOYEE_NUMBER","GENDER","TITLE","EMAIL_ADDRESS","COMPANY_STATUS","MAX_PEOPLE_RECORD","MAX_ASSIGN_RECORD"
16859,"Francesca","Azulas","","F","MISS","","EX-EMP",26/AUG/03,07/JUL/03
16866,"Eduarda","Báez","","F","MISS","","EX-EMP",31/MAR/00,16/FEB/00
16872,"Eustaquia","Xuaráu","","F","MRS.","","EX-EMP",05/APR/00,28/FEB/00
16887,"Eleonor","Badiola","","F","MRS.","","EX-EMP",25/NOV/03,17/NOV/03
16894,"Alejandra","Ruega","","F","MISS","","EX-EMP",12/DEC/00,24/NOV/00
16907,"Consuelo","Solaruce","","F","MRS.","","EX-EMP",26/MAY/04,16/APR/04
16916,"Otilia","Babil","","F","MISS","","EX-EMP",28/MAY/04,05/APR/04
16917,"Evarista","Ruiloba","","F","MISS","","EX-EMP",20/MAY/04,16/MAR/04
16921,"Neus","Aguirregomezkorta","","F","MISS","","EX-EMP",13/DEC/00,27/NOV/00
16925,"M.Carmen","Bahamonde","","F","MISS","","EX-EMP",12/DEC/00,02/OCT/00
16926,"Evarista","Yarnoz","","F","MISS","","EX-EMP",12/DEC/00,17/NOV/00
16927,"Nieves","Loredo","","F","MRS.","","EX-EMP",14/DEC/00,14/NOV/00
16932,"Edurne","Yániz","","F","MRS.","","EX-EMP",30/OCT/01,28/SEP/01
16935,"Elena","Yarte","","F","MRS.","","EX-EMP",30/OCT/01,19/SEP/01
16941,"Demetria","Babio","","F","MRS.","","EX-EMP",23/OCT/01,05/SEP/01
16956,"Meritxell","Baeza","","F","MRS.","","EX-EMP",07/DEC/01,19/NOV/01
16959,"Alejandra","López","","F","MRS.","","EX-EMP",11/DEC/01,10/OCT/01
16961,"Maria Dolors","Ruidiez","","F","MISS","","EX-EMP",11/DEC/01,12/SEP/01
16962,"Demetria","García","","F","MISS","","EX-EMP",11/DEC/01,26/SEP/01
16966,"Gloria","García","","F","MISS","","EX-EMP",13/DEC/01,24/SEP/01
16967,"Laura","Pagola","","F","MISS","","EX-EMP",25/APR/01,10/APR/01
16975,"Maria del Sol","Ludueña","","F","MRS.","","EX-EMP",02/MAY/01,28/MAR/01
16977,"Marcia","Aguirregomezkorta","93","F","MRS.","","EMP",30/SEP/04,30/SEP/04
16981,"Cristina","Beldarrain","","F","MRS.","","EX-EMP",22/APR/04,22/MAR/04
16984,"Mariona","Ruidiaz","","F","MISS","","EX-EMP",21/APR/04,15/MAR/04
16991,"Filomena","Babot","","F","MISS","","EX-EMP",09/APR/04,04/FEB/04
16997,"Maria del Sol","Aguirregomezkorta","","F","MRS.","","EX-EMP",10/SEP/03,10/JUL/03
17002,"Maria Dolors","Bacete","","F","MRS.","","EX-EMP",23/SEP/03,18/AUG/03
17003,"Laura","Gutierrez","","F","MRS.","","EX-EMP",11/SEP/03,07/AUG/03
17020,"Gloria","Lorencio","6","F","MISS","","EMP",29/SEP/03,29/SEP/03
17021,"Eduarda","Babot","","F","MISS","","EX-EMP",18/OCT/01,14/JAN/02
17024,"Juan Francisco","Rugama","","M","MR.","","EX-EMP",28/FEB/91,25/FEB/91
16636,"Lina","Yanes","","F","MRS.","","EX-EMP",21/SEP/91,16/SEP/91
16641,"Ana","Cuiña","","F","MRS.","","EX-EMP",01/MAY/99,12/APR/99
16643,"Maria del Carmen","Repiso","","F","MRS.","","EX-EMP",25/APR/92,17/APR/92
16655,"Ana Bella","Lorencio","","F","MRS.","","EX-EMP",01/MAY/92,30/APR/92
16666,"Laura","Babell","","F","MRS.","","EX-EMP",09/DEC/99,22/NOV/99
16686,"Ursulina","Azpilicueta","","F","MISS","","EX-EMP",15/MAY/01,20/APR/01
16687,"Nieves","Rubion","","F","MISS","","EX-EMP",09/MAY/01,20/APR/01
16692,"Montserrat","Dadama","","F","MISS","","EX-EMP",02/MAY/01,05/APR/01
16705,"Maria del Sol","Lorca","","F","MRS.","","EX-EMP",10/DEC/03,27/NOV/03
16732,"Ursulina","Loranza","","F","MRS.","","EX-EMP",04/SEP/03,15/AUG/03
16758,"Margarita","Gayo","","F","MRS.","","EX-EMP",28/AUG/03,30/JUL/03
16771,"Eva","Renteria ","","F","MISS","","EX-EMP",28/AUG/03,29/JUL/03
16774,"Josefina","Repiso","","F","MISS","","EX-EMP",26/AUG/03,07/JUL/03
16779,"Montserrat","Babagay","","F","MISS","","EX-EMP",31/MAR/00,21/FEB/00
16781,"Amaia","Babón","","F","MISS","","EX-EMP",04/APR/00,28/FEB/00
16782,"Angelina","Bacigas","","F","MRS.","","EX-EMP",14/APR/00,10/MAR/00
16787,"Alesia","Babi","","F","MRS.","","EX-EMP",27/AUG/02,05/AUG/02
16789,"Amabel","Yuba","","F","MRS.","","EX-EMP",23/AUG/02,12/JUL/02
16797,"Demetria","Pagola","","F","MRS.","","EX-EMP",20/AUG/02,08/JUL/02
16803,"Elvira","Briceño","","F","MISS","","EX-EMP",24/AUG/02,05/JUN/02
16806,"Filomena","Rius","","F","MISS","","EX-EMP",01/DEC/99,11/NOV/99
16813,"Maria Jesús","Sánchez","","F","MISS","","EX-EMP",30/NOV/99,19/NOV/99
16816,"Maria Rosa","Sánchez","","F","MISS","","EX-EMP",27/NOV/99,11/NOV/99
