"RECORD_TYPE:SUPPLIER_CONTACTS","SUPPLIER_CONTACT_ID","SUPPLIER_ADDRESS_ID","SUPPLIER_ID","POSITION_TITLE","TITLE","FIRST_NAME","LAST_NAME","WORK_PHONE","EMAIL_ADDRESS","FROM_ROWNUMBER"
"SUPPLIER_CONTACTS",1,1,1,"Customer Service Rep.","Mr.","Gerald E.","Plant","404 555-6651","",1
"SUPPLIER_CONTACTS",1,761,1,"Customer Service Rep.","Mr.","Gerald E.","Plant","404 555-6651","",2
"SUPPLIER_CONTACTS",1,985,1,"Customer Service Rep.","Mr.","Gerald E.","Plant","404 555-6651","",3
"SUPPLIER_CONTACTS",2,2,2,"Sales Rep.","Mr.","George E.","Caprice","203 796-1987","gecapinfo@corporate.ge.com",4
"SUPPLIER_CONTACTS",3,4,4,"Sales Representative","Ms.","Uma P.","Stevens","404 987-4433","",5
"SUPPLIER_CONTACTS",3,701,4,"Sales Representative","Ms.","Uma P.","Stevens","404 987-4433","",6
"SUPPLIER_CONTACTS",4,5,4,"Account Manager","Mr.","Jasper","Eelman","31 6099-1300","",7
"SUPPLIER_CONTACTS",5,10,7,"","Mrs.","Winifred C.","Capp","804 888-9811","wcapp@aol.com",8
"SUPPLIER_CONTACTS",8,14,11,"","Mr.","Roberto","Xavier"," ","",9
"SUPPLIER_CONTACTS",9,16,12,"Artist","","Art","Wilde","206 987-8658","",10
"SUPPLIER_CONTACTS",21,41,21,"Receivables Clerk","Mr.","Matthew","Castro","408 524-9670","",11
"SUPPLIER_CONTACTS",22,42,22,"Collections Supervisor","Mrs.","Eva","Fitzpatrick","204 452-3698","",12
"SUPPLIER_CONTACTS",41,41,21,"Receivables Clerk","Mr.","Mark","Clark","408 524-9650","",13
"SUPPLIER_CONTACTS",101,2,2,"Customer Services Rep.","Mr.","Gerry","Camber","203 796-1998","",14
"SUPPLIER_CONTACTS",102,1,1,"Service Rep.","Mrs.","Geena E.","Peterson","404 555-6755","",15
"SUPPLIER_CONTACTS",102,761,1,"Service Rep.","Mrs.","Geena E.","Peterson","404 555-6755","",16
"SUPPLIER_CONTACTS",102,985,1,"Service Rep.","Mrs.","Geena E.","Peterson","404 555-6755","",17
"SUPPLIER_CONTACTS",121,14,11,"","Mr.","Rex A.","Kirby"," ","",18
"SUPPLIER_CONTACTS",181,6,5,"","","Peter","Chueng"," ","",19
"SUPPLIER_CONTACTS",201,41,21,"President","MR.","Joseph C.","Williams","408 524-6000","",20
